Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y
29/07/2011,7108.27,7190.91,7063.82,7158.77,3661.32,3691.09,3630.75,3672.77
01/08/2011,7254.5,7282.01,6953.98,6953.98,3718.11,3722.59,3585.62,3588.05
02/08/2011,6909.43,6938.34,6772.38,6796.75,3567.51,3592.3,3522.79,3522.79
03/08/2011,6717.84,6783.07,6543.6,6640.59,3472.94,3518.55,3441.39,3454.94
04/08/2011,6714.79,6730.43,6391.54,6414.76,3515.11,3515.11,3315.34,3320.35
05/08/2011,6338.77,6436.66,6152.62,6236.16,3218.39,3389.87,3218.39,3278.56
08/08/2011,6170.69,6272.94,5911.09,5923.27,3254.36,3333.61,3125.19,3125.19
09/08/2011,5896.14,6026.27,5502.63,5917.08,3131.84,3201.68,2979.87,3176.19
10/08/2011,6040.68,6089.08,5549.02,5613.42,3235.8,3235.8,3001.25,3002.99
11/08/2011,5771.21,5825.08,5487.82,5797.66,3101.87,3101.87,2891.11,3089.66
12/08/2011,5775.96,6023.75,5678.62,5997.74,3094.84,3216.67,3017.19,3213.88
15/08/2011,6075.59,6106.11,6008.01,6022.24,3248.14,3259.59,3201.12,3239.06
16/08/2011,5957.94,5998.31,5849.52,5994.9,3215.5,3230.9,3162.21,3230.9
17/08/2011,5910.5,6018.37,5870.17,5948.94,3211.49,3288.82,3182.27,3254.34
18/08/2011,5854.36,5892.57,5535.61,5602.8,3216.77,3224.33,3048.41,3076.04
19/08/2011,5581.51,5595.15,5345.36,5480,3060.83,3078.28,2947.91,3016.99
22/08/2011,5412.75,5591.35,5408.71,5473.78,2989.6,3114.14,2989.6,3051.36
23/08/2011,5529.26,5636.06,5452.15,5532.38,3088.75,3137.37,3051.16,3084.37
24/08/2011,5579.8,5743.1,5514.15,5681.08,3114.98,3166.82,3075.48,3139.55
25/08/2011,5739.86,5777.04,5451.52,5584.14,3167.66,3189.42,3096.54,3119
26/08/2011,5582.5,5588.69,5403.58,5537.48,3113.84,3122.23,3014.31,3087.64
29/08/2011,5634.06,5714.72,5587.78,5670.07,3141.19,3174.43,3117.94,3154.2
30/08/2011,5713.53,5730.36,5572.65,5643.92,3186.77,3193.17,3129.04,3159.74
31/08/2011,5686.26,5869.65,5648.97,5784.85,3179.21,3263.09,3164.51,3256.76
01/09/2011,5793.1,5794.5,5639.03,5730.63,3273.05,3295.54,3207.32,3265.83
02/09/2011,5623.7,5635.5,5493.31,5538.33,3226.94,3226.94,3132.66,3148.53
05/09/2011,5409.9,5421.1,5208.4,5246.2,3072.51,3083.23,2977.18,2999.54
06/09/2011,5248.31,5332.11,5150.05,5193.97,2998.29,3042.63,2942.78,2965.64
07/09/2011,5332.52,5406.23,5276.88,5405.53,3038.57,3073.18,3015.97,3073.18
08/09/2011,5410.08,5473.68,5313.78,5408.46,3070.58,3116.21,3044.38,3085.83
09/09/2011,5383.63,5400.79,5174.24,5189.93,3064.94,3077.42,2967.17,2974.59
12/09/2011,5063.59,5126.52,4965.8,5072.33,2880.46,2894.03,2820.76,2854.81
13/09/2011,5153.95,5222.81,4969.84,5166.36,2910.44,2910.44,2769.97,2894.93
14/09/2011,5108.1,5347.82,5105.82,5340.19,2851.69,2956.74,2849.73,2949.14
15/09/2011,5386.86,5566.58,5374.57,5508.24,2969.46,3086.64,2960.69,3045.62
16/09/2011,5607.51,5655.95,5524.22,5573.51,3084.16,3084.16,3014.45,3031.08
19/09/2011,5447.32,5496.94,5362.01,5415.91,2960.93,2978.34,2921.98,2940
20/09/2011,5373.53,5577.6,5369.07,5571.68,2918.07,2991.21,2909.75,2984.05
21/09/2011,5557.07,5557.92,5417.85,5433.8,2982.86,2982.86,2929.97,2935.82
22/09/2011,5258.42,5289.77,5135.85,5164.21,2857.86,2863.76,2771.2,2781.68
23/09/2011,5227.09,5229.6,4973.92,5196.56,2821.43,2823.97,2693.21,2810.11
26/09/2011,5128.56,5415.56,5118.19,5345.56,2754.82,2916.75,2753.27,2859.34
27/09/2011,5502.89,5638.04,5483.23,5628.44,2943.32,3023.38,2910.22,3023.38
28/09/2011,5560.6,5700.08,5520.59,5578.42,2990.47,3055.67,2969.49,2995.62
29/09/2011,5555.07,5704.41,5533.33,5639.58,2978.26,3060.43,2974.98,3027.65
30/09/2011,5602.55,5606.56,5438.55,5502.02,3009.26,3021.97,2948.24,2981.96
03/10/2011,5311.93,5437.74,5289.04,5376.7,2913.07,2946.38,2888.83,2926.83
04/10/2011,5284.11,5288.78,5125.44,5216.71,2884.54,2884.62,2808.22,2850.55
05/10/2011,5341.43,5486.03,5266.14,5473.03,2921.3,2973.9,2887.82,2973.9
06/10/2011,5511.56,5645.25,5465.55,5645.25,2999.78,3075.37,2995.38,3075.37
07/10/2011,5647.66,5749.13,5606.32,5675.7,3073.94,3126,3052.46,3095.56
10/10/2011,5705.4,5872.15,5652.99,5847.29,3121.41,3162.73,3094.17,3161.47
11/10/2011,5825.91,5883.38,5773.88,5865.01,3151.87,3156.09,3115.05,3153.52
12/10/2011,5851.1,6022.05,5798.16,5994.47,3136.55,3238.07,3121.16,3229.76
13/10/2011,5969.91,6036.02,5878.29,5914.84,3212.54,3251.62,3168.38,3186.94
14/10/2011,5934.78,6037.29,5885.39,5967.2,3200.52,3250.48,3180.05,3217.89
17/10/2011,6021.29,6081.41,5819.97,5859.43,3241.97,3266.57,3149.93,3166.06
18/10/2011,5781.77,5907.46,5747.65,5877.41,3125.24,3152.09,3088.32,3141.1
19/10/2011,5909.58,5977.75,5874.85,5913.53,3166.24,3184.33,3137.05,3157.34
20/10/2011,5834.42,5914.87,5752.83,5766.48,3108.36,3148.4,3082.12,3084.07
21/10/2011,5800.06,5980.46,5769.19,5970.96,3110.2,3171.34,3092.43,3171.34
24/10/2011,6014.36,6067.16,5937.58,6055.27,3190.71,3224.09,3156.37,3220.46
25/10/2011,6026.45,6157.93,5964.28,6046.75,3202.06,3228.38,3150.13,3174.29
26/10/2011,6041.16,6143.56,5951.82,6016.07,3167.66,3227.97,3146.11,3169.62
27/10/2011,6222.75,6347.6,6196.6,6337.84,3300.72,3372.54,3243.79,3368.62
28/10/2011,6364.18,6430.6,6305.5,6346.19,3378.58,3411.22,3333.29,3348.63
31/10/2011,6283.19,6304.84,6141.34,6141.34,3302.78,3310.3,3242.84,3242.84
01/11/2011,5934.54,5947.58,5762.26,5834.51,3162.57,3181.66,3057.26,3068.33
02/11/2011,5897.14,5990.56,5810.79,5965.63,3117.88,3134.83,3049.7,3110.59
03/11/2011,5835.36,6193.34,5832.03,6133.18,3039.57,3221.94,3029.44,3195.47
04/11/2011,6175.43,6175.43,5928.92,5966.16,3219.71,3228.11,3113.44,3123.55
